timestamp,src_ip,src_mac,dst_ip,dst_mac
1760873762.58959,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873762.6376057,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873764.677971,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873764.710311,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873766.7465754,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873766.7817194,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873768.8318934,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873768.8661897,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873770.9142992,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873770.9573092,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873772.994117,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873773.0340087,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873775.0738564,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873775.106423,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873777.1539283,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873777.189613,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873779.225259,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873779.2747016,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873781.310011,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873781.3428433,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873783.3743181,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873783.41484,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873785.4621706,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873785.5016963,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873787.5419304,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873787.5815458,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873789.6254876,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873789.665597,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873791.7009342,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873791.746498,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873791.9500287,10.0.0.20,08:00:27:6c:de:bb,10.0.0.10,08:00:27:d5:f7:5b
1760873791.9504888,10.0.0.1,08:00:27:b2:98:84,10.0.0.10,08:00:27:d5:f7:5b
1760873793.7866638,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873793.8338773,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873795.8666754,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873795.8985903,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873797.9381857,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873797.9860885,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873800.0181026,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873800.057341,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873802.0981274,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873802.1340454,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873804.1738567,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873804.213977,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873806.2544947,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873806.286195,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873808.3281882,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873808.3623998,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873810.400224,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873810.4352996,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873812.4662352,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873812.5024257,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873814.5423632,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873814.575855,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873816.6094205,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873816.646569,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873818.6781232,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873818.7146616,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873820.7457323,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873820.7855928,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873822.8255253,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873822.8625586,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873824.8975747,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873824.9309042,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873826.9635878,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873826.9997454,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873829.030663,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873829.070391,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873830.6066334,10.0.0.20,08:00:27:6c:de:bb,10.0.0.10,08:00:27:d5:f7:5b
1760873830.6072624,10.0.0.1,08:00:27:b2:98:84,10.0.0.10,08:00:27:d5:f7:5b
1760873831.1017878,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873831.1380725,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873833.1736972,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873833.2120743,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873835.241641,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873835.2784138,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
